Deputado,Partido,Voto,UF
Abou Anni,PSL,Sim,SP
Abílio Santana,PL,Sim,BA
Acácio Favacho,PROS,Sim,AP
Adolfo Viana,PSDB,Sim,BA
Adriana Ventura,NOVO,Sim,SP
Adriano do Baldy,PP,Sim,GO
Afonso Florence,PT,Não,BA
Afonso Hamm,PP,Sim,RS
Afonso Motta,PDT,Não,RS
Aguinaldo Ribeiro,PP,Sim,PB
Airton Faleiro,PT,Não,PA
AJ Albuquerque,PP,Sim,CE
Alan Rick,DEM,Sim,AC
Alceu Moreira,MDB,Sim,RS
Alcides Rodrigues,Patriota,Sim,GO
Alencar Santana Braga,PT,Não,SP
Alessandro Molon,PSB,Não,RJ
Alex Manente,CIDADANIA,Sim,SP
Alex Santana,PDT,Sim,BA
Alexandre Frota,PSL,Sim,SP
Alexandre Leite,DEM,Sim,SP
Alexandre Padilha,PT,Não,SP
Alexandre Serfiotis,PSD,Sim,RJ
Alexis Fonteyne,NOVO,Sim,SP
Alice Portugal,PCdoB,Não,BA
Aliel Machado,PSB,Não,PR
Aline Gurgel,PRB,Não,AP
Aline Sleutjes,PSL,Sim,PR
Altineu Côrtes,PL,Sim,RJ
Aluisio Mendes,Podemos,Sim,MA
Alê Silva,PSL,Sim,MG
Amaro Neto,PRB,Sim,ES
André Abdon,PP,Sim,AP
André de Paula,PSD,Sim,PE
André Ferreira,PSC,Sim,PE
André Figueiredo,PDT,Não,CE
André Fufuca,PP,Sim,MA
André Janones,Avante,Não,MG
Angela Amin,PP,Sim,SC
Antonio Brito,PSD,Sim,BA
Aníbal Gomes,DEM,Sim,CE
Arlindo Chinaglia,PT,Não,SP
Arnaldo Jardim,CIDADANIA,Sim,SP
Aroldo Martins,PRB,Sim,PR
Arthur Lira,PP,Sim,AL
Arthur Oliveira Maia,DEM,Sim,BA
Assis Carvalho,PT,Não,PI
Augusto Coutinho,Solidaried,Sim,PE
Aureo Ribeiro,Solidaried,Sim,RJ
Aécio Neves,PSDB,Sim,MG
Baleia Rossi,MDB,Sim,SP
Benedita da Silva,PT,Não,RJ
Benes Leocádio,PRB,Sim,RN
Beto Faro,PT,Não,PA
Beto Pereira,PSDB,Sim,MS
Beto Rosado,PP,Sim,RN
Bia Kicis,PSL,Sim,DF
Bibo Nunes,PSL,Sim,RS
Bilac Pinto,DEM,Sim,MG
Bira do Pindaré,PSB,Não,MA
Boca Aberta,PROS,Sim,PR
Bohn Gass,PT,Não,RS
Bosco Costa,PL,Sim,SE
Bosco Saraiva,Solidaried,Sim,AM
Bruna Furlan,PSDB,Sim,SP
Cabo Junio Amaral,PSL,Sim,MG
Cacá Leão,PP,Sim,BA
Camilo Capiberibe,PSB,Não,AP
Capitão Alberto Neto,PRB,Sim,AM
Capitão Augusto,PL,Sim,SP
Capitão Wagner,PROS,Não,CE
Carla Zambelli,PSL,Sim,SP
Carlos Bezerra,MDB,Sim,MT
Carlos Chiodini,MDB,Sim,SC
Carlos Gomes,PRB,Sim,RS
Carlos Henrique Gaguim,DEM,Sim,TO
Carlos Jordy,PSL,Sim,RJ
Carlos Sampaio,PSDB,Sim,SP
Carlos Veras,PT,Não,PE
Carlos Zarattini,PT,Não,SP
Carmen Zanotto,CIDADANIA,Sim,SC
Caroline de Toni,PSL,Sim,SC
Celina Leão,PP,Sim,DF
Celso Maldaner,MDB,Sim,SC
Celso Russomanno,PRB,Sim,SP
Celso Sabino,PSDB,Sim,PA
Cezinha de Madureira,PSD,Sim,SP
Charles Fernandes,PSD,Sim,BA
Charlles Evangelista,PSL,Sim,MG
Chico D`Angelo,PDT,Não,RJ
Chiquinho Brazão,Avante,Sim,RJ
Chris Tonietto,PSL,Sim,RJ
Christiane de Souza Yared,PL,Sim,PR
Christino Aureo,PP,Sim,RJ
Clarissa Garotinho,PROS,Não,RJ
Claudio Cajado,PP,Sim,BA
Cleber Verde,PRB,Sim,MA
Coronel Armando,PSL,Sim,SC
Coronel Chrisóstomo,PSL,Sim,RO
Coronel Tadeu,PSL,Sim,SP
Cristiano Vale,PL,Sim,PA
Cássio Andrade,PSB,Não,PA
Célio Moura,PT,Não,TO
Célio Silveira,PSDB,Sim,GO
Célio Studart,PV,Não,CE
Da Vitória,CIDADANIA,Sim,ES
Dagoberto Nogueira,PDT,Não,MS
Damião Feliciano,PDT,Não,PB
Daniel Almeida,PCdoB,Não,BA
Daniel Coelho,CIDADANIA,Sim,PE
Daniel Freitas,PSL,Sim,SC
Daniel Silveira,PSL,Sim,RJ
Daniel Trzeciak,PSDB,Sim,RS
Daniela do Waguinho,MDB,Sim,RJ
Danilo Cabral,PSB,Não,PE
Danrlei de Deus Hinterholz,PSD,Sim,RS
Darci de Matos,PSD,Sim,SC
Darcísio Perondi,MDB,Sim,RS
David Miranda,PSOL,Não,RJ
David Soares,DEM,Sim,SP
Delegado Antônio Furtado,PSL,Sim,RJ
Delegado Marcelo Freitas,PSL,Sim,MG
Delegado Pablo,PSL,Sim,AM
Delegado Waldir,PSL,Sim,GO
Delegado Éder Mauro,PSD,Sim,PA
Denis Bezerra,PSB,Não,CE
Diego Andrade,PSD,Sim,MG
Diego Garcia,Podemos,Sim,PR
Dimas Fabiano,PP,Sim,MG
Domingos Neto,PSD,Sim,CE
Domingos Sávio,PSDB,Sim,MG
Dr. Frederico,Patriota,Sim,MG
Dr. Jaziel,PL,Sim,CE
Dr. Leonardo,Solidaried,Sim,MT
Dr. Luiz Antonio Teixeira Jr.,PP,Sim,RJ
Dr. Luiz Ovando,PSL,Sim,MS
Dr. Zacharias Calil,DEM,Sim,GO
Dra. Soraya Manato,PSL,Sim,ES
Dra. Vanda Milani,Solidaried,Sim,AC
Dulce Miranda,MDB,Sim,TO
Edilázio Júnior,PSD,Sim,MA
Edio Lopes,PL,Sim,RR
Edmilson Rodrigues,PSOL,Não,PA
Edna Henrique,PSDB,Sim,PB
Eduardo Barbosa,PSDB,Sim,MG
Eduardo Bismarck,PDT,Não,CE
Eduardo Bolsonaro,PSL,Sim,SP
Eduardo Braide,PMN,Não,MA
Eduardo Costa,PTB,Sim,PA
Eduardo Cury,PSDB,Sim,SP
Eduardo da Fonte,PP,Não,PE
Efraim Filho,DEM,Sim,PB
Elcione Barbalho,MDB,Sim,PA
Eli Borges,Solidaried,Sim,TO
Eli Corrêa Filho,DEM,Sim,SP
Elias Vaz,PSB,Não,GO
Elmar Nascimento,DEM,Sim,BA
Emanuel Pinheiro Neto,PTB,Sim,MT
Emidinho Madeira,PSB,Sim,MG
Enio Verri,PT,Não,PR
Enrico Misasi,PV,Sim,SP
Erika Kokay,PT,Não,DF
Eros Biondini,PROS,Sim,MG
Euclydes Pettersen,PSC,Sim,MG
Evair Vieira de Melo,PP,Sim,ES
Evandro Roman,PSD,Sim,PR
Expedito Netto,PSD,Não,RO
Fabio Reis,MDB,Sim,SE
Fabio Schiochet,PSL,Sim,SC
Fausto Pinato,PP,Sim,SP
Felipe Carreras,PSB,Sim,PE
Felipe Francischini,PSL,Sim,PR
Felipe Rigoni,PSB,Sim,ES
Felício Laterça,PSL,Sim,RJ
Fernanda Melchionna,PSOL,Não,RS
Fernando Coelho Filho,DEM,Sim,PE
Fernando Monteiro,PP,Não,PE
Fernando Rodolfo,PL,Sim,PE
Filipe Barros,PSL,Sim,PR
Flaviano Melo,MDB,Sim,AC
Flordelis,PSD,Sim,RJ
Flávia Arruda,PL,Sim,DF
Flávia Morais,PDT,Não,GO
Flávio Nogueira,PDT,Sim,PI
Francisco Jr.,PSD,Sim,GO
Franco Cartafina,PP,Sim,MG
Fred Costa,Patriota,Sim,MG
Frei Anastacio Ribeiro,PT,Não,PB
Fábio Faria,PSD,Sim,RN
Fábio Henrique,PDT,Não,SE
Fábio Mitidieri,PSD,Sim,SE
Fábio Ramalho,MDB,Sim,MG
Fábio Trad,PSD,Sim,MS
Félix Mendonça Júnior,PDT,Não,BA
Gastão Vieira,PROS,Sim,MA
Gelson Azevedo,PL,Sim,RJ
Genecias Noronha,Solidaried,Sim,CE
General Peternelli,PSL,Sim,SP
Geninho Zuliani,DEM,Sim,SP
Geovania de Sá,PSDB,Sim,SC
Gervásio Maia,PSB,Não,PB
Giacobo,PL,Sim,PR
Gil Cutrim,PDT,Sim,MA
Gilberto Abramo,PRB,Sim,MG
Gilberto Nascimento,PSC,Sim,SP
Gilson Marques,NOVO,Sim,SC
Giovani Cherini,PL,Sim,RS
Giovani Feltes,MDB,Sim,RS
Glauber Braga,PSOL,Não,RJ
Glaustin Fokus,PSC,Sim,GO
Gleisi Hoffmann,PT,Não,PR
Gonzaga Patriota,PSB,Não,PE
Greyce Elias,Avante,Sim,MG
Guiga Peixoto,PSL,Sim,SP
Guilherme Derrite,PP,Sim,SP
Guilherme Mussi,PP,Sim,SP
Gurgel,PSL,Sim,RJ
Gustavo Fruet,PDT,Não,PR
Gustinho Ribeiro,Solidaried,Sim,SE
Gutemberg Reis,MDB,Sim,RJ
Haroldo Cathedral,PSD,Sim,RR
Heitor Freire,PSL,Sim,CE
Heitor Schuch,PSB,Não,RS
Helder Salomão,PT,Não,ES
Helio Lopes,PSL,Sim,RJ
Henrique Fontana,PT,Não,RS
Herculano Passos,MDB,Sim,SP
Hercílio Coelho Diniz,MDB,Sim,MG
Hermes Parcianello,MDB,Sim,PR
Hildo Rocha,MDB,Sim,MA
Hiran Gonçalves,PP,Sim,RR
Hugo Leal,PSD,Sim,RJ
Hugo Motta,PRB,Não,PB
Hélio Costa,PRB,Sim,SC
Hélio Leite,DEM,Sim,PA
Idilvan Alencar,PDT,Não,CE
Igor Kannário,PHS,Sim,BA
Igor Timo,Podemos,Sim,MG
Iracema Portella,PP,Sim,PI
Isnaldo Bulhões Jr.,MDB,Sim,AL
Ivan Valente,PSOL,Não,SP
Jandira Feghali,PCdoB,Não,RJ
Jaqueline Cassol,PP,Sim,RO
Jefferson Campos,PSB,Sim,SP
Jerônimo Goergen,PP,Sim,RS
Jesus Sérgio,PDT,Sim,AC
Jhc,PSB,Não,AL
Jhonatan de Jesus,PRB,Sim,RR
Joaquim Passarinho,PSD,Sim,PA
Joenia Wapichana,REDE,Não,RR
Joice Hasselmann,PSL,Sim,SP
Jorge Braz,PRB,Sim,RJ
Jorge Solla,PT,Não,BA
Jose Mario Schreiner,DEM,Sim,GO
Joseildo Ramos,PT,Não,BA
Josimar Maranhãozinho,PL,Sim,MA
José Airton Cirilo,PT,Não,CE
José Guimarães,PT,Não,CE
José Medeiros,Podemos,Sim,MT
José Nelto,Podemos,Sim,GO
José Nunes,PSD,Sim,BA
José Priante,MDB,Sim,PA
José Ricardo,PT,Não,AM
José Rocha,PL,Sim,BA
João Campos,PRB,Sim,GO
João Carlos Bacelar,PL,Sim,BA
João Daniel,PT,Não,SE
João H. Campos,PSB,Não,PE
João Maia,PL,Sim,RN
João Marcelo Souza,MDB,Sim,MA
João Roma,PRB,Sim,BA
Juarez Costa,MDB,Sim,MT
Julian Lemos,PSL,Sim,PB
Julio Cesar Ribeiro,PRB,Sim,DF
Juninho do Pneu,DEM,Sim,RJ
Junior Lourenço,PL,Sim,MA
Juscelino Filho,DEM,Sim,MA
Jéssica Sales,MDB,Sim,AC
Júlio Cesar,PSD,Sim,PI
Júlio Delgado,PSB,Não,MG
Júnior Bozzella,PSL,Sim,SP
Júnior Ferrari,PSD,Sim,PA
Júnior Mano,PL,Sim,CE
Kim Kataguiri,DEM,Sim,SP
Laercio Oliveira,PP,Sim,SE
Lafayette de Andrada,PRB,Sim,MG
Lauriete,PL,Sim,ES
Leandre,PV,Sim,PR
Leda Sadala,Avante,Sim,AP
Leonardo Monteiro,PT,Não,MG
Leur Lomanto Júnior,DEM,Sim,BA
Leônidas Cristino,PDT,Não,CE
Lincoln Portela,PL,Sim,MG
Liziane Bayer,PSB,Sim,RS
Loester Trutis,PSL,Sim,MS
Lourival Gomes,PSL,Sim,RJ
Lucas Gonzalez,NOVO,Sim,MG
Lucas Redecker,PSDB,Sim,RS
Lucas Vergilio,Solidaried,Sim,GO
Luciano Bivar,PSL,Sim,PE
Luciano Ducci,PSB,Não,PR
Lucio Mosquini,MDB,Sim,RO
Luis Miranda,DEM,Sim,DF
Luis Tibé,Avante,Sim,MG
Luisa Canziani,PTB,Sim,PR
Luiz Antônio Corrêa,S.Part.,Sim,RJ
Luiz Carlos,PSDB,Sim,AP
Luiz Flávio Gomes,PSB,Sim,SP
Luiz Lima,PSL,Sim,RJ
Luiz Nishimori,PL,Sim,PR
Luiz Philippe de Orleans e Bragança,PSL,Sim,SP
Luiza Erundina,PSOL,Não,SP
Luizianne Lins,PT,Não,CE
Luizão Goulart,PRB,Sim,PR
Léo Moraes,Podemos,Sim,RO
Léo Motta,PSL,Sim,MG
Lídice da Mata,PSB,Não,BA
Magda Mofatto,PL,Sim,GO
Major Fabiana,PSL,Sim,RJ
Major Vitor Hugo,PSL,Sim,GO
Manuel Marcos,PRB,Sim,AC
Mara Rocha,PSDB,Sim,AC
Marcel van Hattem,NOVO,Sim,RS
Marcelo Aro,PP,Sim,MG
Marcelo Calero,CIDADANIA,Sim,RJ
Marcelo Freixo,PSOL,Não,RJ
Marcelo Moraes,PTB,Sim,RS
Marcelo Nilo,PSB,Não,BA
Marcelo Ramos,PL,Sim,AM
Marcelo Álvaro Antônio,PSL,Sim,MG
Marcio Alvino,PL,Sim,SP
Marco Bertaiolli,PSD,Sim,SP
Marcon,PT,Não,RS
Marcos Aurélio Sampaio,MDB,Sim,PI
Marcos Pereira,PRB,Sim,SP
Margarete Coelho,PP,Sim,PI
Margarida Salomão,PT,Não,MG
Maria do Rosário,PT,Não,RS
Maria Rosas,PRB,Sim,SP
Mariana Carvalho,PSDB,Sim,RO
Marina Santos,Solidaried,Sim,PI
Marlon Santos,PDT,Sim,RS
Marreca Filho,Patriota,Sim,MA
Marx Beltrão,PSD,Sim,AL
Marília Arraes,PT,Não,PE
Mauro Lopes,MDB,Sim,MG
Mauro Nazif,PSB,Não,RO
Maurício Dziedricki,PTB,Sim,RS
Miguel Lombardi,PL,Sim,SP
Milton Vieira,PRB,Sim,SP
Misael Varella,PSD,Sim,MG
Moses Rodrigues,MDB,Sim,CE
Márcio Biolchi,MDB,Sim,RS
Márcio Jerry,PCdoB,Não,MA
Márcio Labre,PSL,Sim,RJ
Márcio Marinho,PRB,Sim,BA
Mário Heringer,PDT,Não,MG
Mário Negromonte Jr.,PP,Não,BA
Natália Bonavides,PT,Não,RN
Nelson Barbudo,PSL,Sim,MT
Nelson Pellegrino,PT,Não,BA
Nereu Crispim,PSL,Sim,RS
Neri Geller,PP,Sim,MT
Newton Cardoso Jr,MDB,Sim,MG
Nicoletti,PSL,Sim,RR
Nilson Pinto,PSDB,Sim,PA
Nilto Tatto,PT,Não,SP
Nivaldo Albuquerque,PTB,Sim,AL
Norma Ayub,DEM,Sim,ES
Odair Cunha,PT,Não,MG
Olival Marques,DEM,Sim,PA
Onyx Lorenzoni,DEM,Sim,RS
Orlando Silva,PCdoB,Não,SP
Osires Damaso,PSC,Sim,TO
Ossesio Silva,PRB,Sim,PE
Otaci Nascimento,Solidaried,Sim,RR
Otoni de Paula,PSC,Sim,RJ
Otto Alencar Filho,PSD,Sim,BA
Padre João,PT,Não,MG
Paes Landim,PTB,Sim,PI
Pastor Eurico,Patriota,Sim,PE
Pastor Gildenemyr,PL,Sim,MA
Pastor Sargento Isidório,Avante,Sim,BA
Patrus Ananias,PT,Não,MG
Paula Belmonte,CIDADANIA,Sim,DF
Paulo Abi-Ackel,PSDB,Sim,MG
