Deputado,Partido,Voto,UF
Abou Anni,PSL,Sim,SP
Acácio Favacho,PROS,Sim,AP
Adolfo Viana,PSDB,Sim,BA
Adriana Ventura,NOVO,Sim,SP
Adriano do Baldy,PP,Sim,GO
Aécio Neves,PSDB,Sim,MG
Afonso Hamm,PP,Sim,RS
Aguinaldo Ribeiro,PP,Sim,PB
AJ Albuquerque,PP,Sim,CE
Alan Rick,DEM,Sim,AC
Alceu Moreira,MDB,Sim,RS
Alcides Rodrigues,PATRI,Sim,GO
Alê Silva,PSL,Sim,MG
Alex Manente,CIDADANIA,Sim,SP
Alex Santana,PDT,Sim,BA
Alexandre Frota,PSL,Sim,SP
Alexandre Leite,DEM,Sim,SP
Alexandre Serfiotis,PSD,Sim,RJ
Alexis Fonteyne,NOVO,Sim,SP
Aline Sleutjes,PSL,Sim,PR
Altineu Cortes,PL,Sim,RJ
Aluisio Mendes,PODE,Sim,MA
Amaro Neto,PRB,Sim,ES
Andre Abdon,PP,Sim,AP
Andre de Paula,PSD,Sim,PE
Andre Ferreira,PSC,Sim,PE
Andre Fufuca,PP,Sim,MA
Angela Amin,PP,Sim,SC
Antonio Brito,PSD,Sim,BA
Arnaldo Jardim,CIDADANIA,Sim,SP
Aroldo Martins,PRB,Sim,PR
Arthur Lira,PP,Sim,AL
Arthur Maia,DEM,Sim,BA
Atila Lins,PP,Sim,AM
Átila Lira,PSB,Sim,PI
Augusto Coutinho,SOLIDARIEDADE,Sim,PE
Aureo,SOLIDARIEDADE,Sim,RJ
Baleia Rossi,MDB,Sim,SP
Benes Leocadio,PRB,Sim,RN
Beto,PP,Sim,RN
Beto Pereira,PSDB,Sim,MS
Bia Kicis,PSL,Sim,DF
Bibo Nunes,PSL,Sim,RS
Bilac Pinto,DEM,Sim,MG
Bispo Ossesio,PRB,Sim,PE
Boca Aberta,PROS,Sim,PR
Bosco Costa,PL,Sim,SE
Bosco Saraiva,SOLIDARIEDADE,Sim,AM
Bruna Furlan,PSDB,Sim,SP
Cabo Junio Amaral,PSL,Sim,MG
Cacá Leão,PP,Sim,BA
Capitão Alberto Neto,PRB,Sim,AM
Capitão Augusto,PL,Sim,SP
Carla Zambelli,PSL,Sim,SP
Carlos Bezerra,MDB,Sim,MT
Carlos Chiodini,MDB,Sim,SC
Carlos Gomes,PRB,Sim,RS
Carlos Henrique Gaguim,DEM,Sim,TO
Carlos Jordy,PSL,Sim,RJ
Carlos Sampaio,PSDB,Sim,SP
Carmen Zanotto,CIDADANIA,Sim,SC
Caroline de Toni,PSL,Sim,SC
Celina Leão,PP,Sim,DF
Célio Silveira,PSDB,Sim,GO
Celso Maldaner,MDB,Sim,SC
Celso Russomanno,PRB,Sim,SP
Celso Sabino,PSDB,Sim,PA
Cezinha de Madureira,PSD,Sim,SP
Charles Fernandes,PSD,Sim,BA
Charlles Evangelista,PSL,Sim,MG
Chiquinho Brazão,AVANTE,Sim,RJ
Chris Tonietto,PSL,Sim,RJ
Christiane de Souza Yared,PL,Sim,PR
Christino Aureo,PP,Sim,RJ
Claudio Cajado,PP,Sim,BA
Cleber Verde,PRB,Sim,MA
Coronel Armando,PSL,Sim,SC
Coronel Chrisóstomo,PSL,Sim,RO
Coronel Tadeu,PSL,Sim,SP
Cristiano Vale,PL,Sim,PA
Da Vitoria,CIDADANIA,Sim,ES
Daniel Coelho,CIDADANIA,Sim,PE
Daniel Da TV,PSDB,Sim,RS
Daniel Freitas,PSL,Sim,SC
Daniel Silveira,PSL,Sim,RJ
Daniela do Waguinho,MDB,Sim,RJ
Danrlei de Deus Hinterholz,PSD,Sim,RS
Darci de Matos,PSD,Sim,SC
David Soares,DEM,Sim,SP
Delegado Antônio Furtado,PSL,Sim,RJ
Delegado Éder Mauro,PSD,Sim,PA
Delegado Marcelo Freitas,PSL,Sim,MG
Delegado Pablo,PSL,Sim,AM
Delegado Waldir,PSL,Sim,GO
Diego Andrade,PSD,Sim,MG
Diego Garcia,PODE,Sim,PR
Dimas Fabiano,PP,Sim,MG
Domingos Neto,PSD,Sim,CE
Domingos Sávio,PSDB,Sim,MG
Doutor Frederico,PATRI,Sim,MG
Dr Leonardo,SOLIDARIEDADE,Sim,MT
Dr. Aníbal,DEM,Sim,CE
Dr. Hiran Gonçalves,PP,Sim,RR
Dr. Jaziel,PL,Sim,CE
Dr. Luiz Ovando,PSL,Sim,MS
Dr. Luizinho,PP,Sim,RJ
Dr. Zacarias Calil,DEM,Sim,GO
Dra. Marina,SOLIDARIEDADE,Sim,PI
Dra. Soraya Manato,PSL,Sim,ES
Dra. Vanda Milani,SOLIDARIEDADE,Sim,AC
Dulce Miranda,MDB,Sim,TO
Edilazio,PSD,Sim,MA
Edio Lopes,PL,Sim,RR
Edna Henrique,PSDB,Sim,PB
Eduardo Barbosa,PSDB,Sim,MG
Eduardo Bolsonaro,PSL,Sim,SP
Eduardo Costa,PTB,Sim,PA
Eduardo Cury,PSDB,Sim,SP
Efraim Filho,DEM,Sim,PB
Elcione,MDB,Sim,PA
Eli Borges,SOLIDARIEDADE,Sim,TO
Eli Corrêa Filho,DEM,Sim,SP
Elmar,DEM,Sim,BA
Emanuelzinho,PTB,Sim,MT
Emidinho Madeira,PSB,Sim,MG
Enrico Misasi,PV,Sim,SP
Eros Biondini,PROS,Sim,MG
Euclydes Pettersen,PSC,Sim,MG
Evair Vieira de Melo,PP,Sim,ES
Evandro Roman,PSD,Sim,PR
Fábio Faria,PSD,Sim,RN
Fábio Mitidieri,PSD,Sim,SE
Fabio Ramalho,MDB,Sim,MG
Fabio Reis,MDB,Sim,SE
Fabio Schiochet,PSL,Sim,SC
Fabio Trad,PSD,Sim,MS
Fausto Pinato,PP,Sim,SP
